"","RINGS","AROMATIC","RNH2","R2NH","R3N","ROPO3","ROH","RCHO","RCOR","RCOOH","RCOOR","ROR","RCCH","RCN","MF","MW","C","Cl","H","N","O","S","F","Br","B","P","I","Si"
"CHEMBL5095163",3,2,0,0,1,0,2,0,0,0,0,1,1,0,"C12H12FN5O3",293.2537832,12,0,12,5,3,0,1,0,0,0,0,0
"CHEMBL4208229",4,3,0,1,1,0,1,0,0,0,0,1,0,0,"C20H18ClF2N5O3",449.8384264,20,1,18,5,3,0,2,0,0,0,0,0
"CHEMBL5095080",4,2,0,1,1,0,2,0,0,0,0,1,0,0,"C21H20ClF3N2O4",456.8427096,21,1,20,2,4,0,3,0,0,0,0,0
"CHEMBL4594441",4,4,0,3,0,0,0,0,0,0,1,1,0,0,"C20H18FN5O3",395.3870232,20,0,18,5,3,0,1,0,0,0,0,0
"CHEMBL2403108",4,3,0,3,0,0,0,0,0,0,0,1,0,0,"C28H37ClN5O3S",559.14308,28,1,37,5,3,1,0,0,0,0,0,0
"CHEMBL4594348",3,2,0,1,1,0,0,0,0,0,0,0,0,0,"C17H19N3O2",297.35166,17,0,19,3,2,0,0,0,0,0,0,0
"CHEMBL1560",1,0,0,0,1,0,0,0,0,1,0,0,0,0,"C9H14NO3S",216.27736,9,0,14,1,3,1,0,0,0,0,0,0
"CHEMBL2103833",4,2,0,3,1,0,0,0,0,0,0,0,0,0,"C22H26FN4O2",397.4658432,22,0,26,4,2,0,1,0,0,0,0,0
"CHEMBL637",2,1,0,0,1,0,1,0,0,0,0,1,0,0,"C17H28NO2",278.40972,17,0,28,1,2,0,0,0,0,0,0,0
"CHEMBL4596972",5,4,0,3,0,0,0,0,0,0,0,0,0,0,"C17H16N7",318.35584,17,0,16,7,0,0,0,0,0,0,0,0
"CHEMBL1694",2,2,0,1,1,0,0,0,0,1,1,0,0,0,"C24H27N2O5",423.48158,24,0,27,2,5,0,0,0,0,0,0,0
"CHEMBL270995",4,4,1,1,0,0,0,0,0,0,1,2,0,0,"C22H24FN5O4",441.4554632,22,0,24,5,4,0,1,0,0,0,0,0
"CHEMBL5201870",3,2,0,2,0,0,0,0,0,0,1,1,0,0,"C19H28N6O4",404.46342,19,0,28,6,4,0,0,0,0,0,0,0
"CHEMBL3544986",2,0,0,1,1,0,0,0,0,1,1,0,0,0,"C19H31N2O5",367.45984,19,0,31,2,5,0,0,0,0,0,0,0
"CHEMBL3265032",6,5,0,1,2,0,0,0,0,0,0,1,0,0,"C23H22N7O",412.46708,23,0,22,7,1,0,0,0,0,0,0,0
"CHEMBL3617964",4,4,0,1,1,0,0,0,0,0,0,0,0,0,"C25H22F3N5O4S",545.5334896,25,0,22,5,4,1,3,0,0,0,0,0
"CHEMBL4650827",5,2,0,0,3,0,0,0,0,0,0,1,0,0,"C32H48FN6O4S",631.8247232,32,0,48,6,4,1,1,0,0,0,0,0
"CHEMBL222813",1,0,0,2,0,0,3,0,0,1,0,1,0,0,"C12H20N4O7",332.3098,12,0,20,4,7,0,0,0,0,0,0,0
"CHEMBL1201753",4,3,0,0,0,0,2,0,0,1,0,0,0,0,"C25H23FNO4",420.4528232,25,0,23,1,4,0,1,0,0,0,0,0
"CHEMBL4297594",2,2,0,2,1,0,0,0,0,0,0,1,0,0,"C11H15N3O2S",253.3207,11,0,15,3,2,1,0,0,0,0,0,0
"CHEMBL4650334",4,1,0,2,2,0,0,0,0,0,0,0,0,0,"C20H24F2N4O3",406.4263664,20,0,24,4,3,0,2,0,0,0,0,0
"CHEMBL4299851",1,1,0,3,0,0,0,0,0,3,0,0,0,0,"C18H20FN4O8",439.3718032,18,0,20,4,8,0,1,0,0,0,0,0
"CHEMBL512351",3,3,0,2,1,0,0,0,0,0,0,1,0,0,"C23H23ClN5O3",452.91342,23,1,23,5,3,0,0,0,0,0,0,0
"CHEMBL2105804",6,5,0,1,1,0,1,0,0,0,0,0,0,0,"C35H37N3O2",531.68718,35,0,37,3,2,0,0,0,0,0,0,0
"CHEMBL225072",3,3,0,3,0,0,0,0,0,2,0,0,0,0,"C20H19N5O6",425.39476,20,0,19,5,6,0,0,0,0,0,0,0
"CHEMBL3391662",7,4,0,2,1,0,0,0,0,0,0,1,0,0,"C40H42N7O7S",764.86918,40,0,42,7,7,1,0,0,0,0,0,0
"CHEMBL554",5,5,0,2,0,0,0,0,0,0,0,2,0,0,"C29H26ClFN4O4S",581.0575432,29,1,26,4,4,1,1,0,0,0,0,0
